Number,Description,References,Phase,Votes,Comments
39,"The lmadmin component in Flexera FlexNet Publisher (aka Flex License Manager) before 2015 SP5 and 2016 before R1 SP1, as used by Citrix License Server for Windows before 11.14.0.1 and Citrix License Server VPX before 11.14.0.1, allows remote attackers to cause a denial of service (crash) via a type 2F packet with a '01 19' opcode.",MISC:https://www.tenable.com/security/research/tra-2016-29   |   CONFIRM:http://support.citrix.com/article/CTX217430   |   BID:93450   |   URL:http://www.securityfocus.com/bid/93450   |   SECTRACK:1037008   |   URL:http://www.securitytracker.com/id/1037008,Assigned (20160722),None (candidate not yet proposed),
40,Heap-based buffer overflow in the yy_get_next_buffer function in Flex before 2.6.1 might allow context-dependent attackers to cause a denial of service or possibly execute arbitrary code via vectors involving num_to_read.,MLIST:[oss-security] 20160718 CVE request: flex: Buffer overflow in generated code (yy_get_next_buffer)   |   URL:http://www.openwall.com/lists/oss-security/2016/07/18/8   |   MLIST:[oss-security] 20160726 Re: CVE request: flex: Buffer overflow in generated code (yy_get_next_buffer)   |   URL:http://www.openwall.com/lists/oss-security/2016/07/26/12   |   CONFIRM:https://github.com/westes/flex/commit/a5cbe929ac3255d371e698f62dc256afe7006466   |   DEBIAN:DSA-3653   |   URL:http://www.debian.org/security/2016/dsa-3653   |   GENTOO:GLSA-201701-31   |   URL:https://security.gentoo.org/glsa/201701-31,Assigned (20160726),None (candidate not yet proposed),
41,"Privilege escalation vulnerability in Lenovo Transition application used in Lenovo Yoga, Flex and Miix systems running Windows allows local users to execute code with elevated privileges.",CONFIRM:https://support.lenovo.com/us/en/product_security/LEN-12508   |   BID:95159   |   URL:http://www.securityfocus.com/bid/95159,Assigned (20160916),None (candidate not yet proposed),
42,"A vulnerability in the mesh code of Cisco Wireless LAN Controller (WLC) software could allow an unauthenticated, remote attacker to impersonate a WLC in a meshed topology. The vulnerability is due to insufficient authentication of the parent access point in a mesh configuration. An attacker could exploit this vulnerability by forcing the target system to disconnect from the correct parent access point and reconnect to a rogue access point owned by the attacker. An exploit could allow the attacker to control the traffic flowing through the impacted access point or take full control of the target system. This vulnerability affects the following products running a vulnerable version of Wireless LAN Controller software and configured for meshed mode: Cisco 8500 Series Wireless Controller, Cisco 5500 Series Wireless Controller, Cisco 2500 Series Wireless Controller, Cisco Flex 7500 Series Wireless Controller, Cisco Virtual Wireless Controller, Wireless Services Module 2 (WiSM2). Note that additional configuration is needed in addition to upgrading to a fixed release. Cisco Bug IDs: CSCuc98992 CSCuu14804.",CONFIRM:https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20170315-wlc-mesh   |   BID:96911   |   URL:http://www.securityfocus.com/bid/96911   |   SECTRACK:1038041   |   URL:http://www.securitytracker.com/id/1038041,Assigned (20161221),None (candidate not yet proposed),
43,"Open redirect vulnerability in the lmadmin component in Flexera FlexNet Publisher (aka Flex License Manager) 11.14.1 and earlier, as used in Citrix License Server for Windows and the Citrix License Server VPX, allows remote attackers to redirect users to arbitrary web sites and conduct phishing attacks via unspecified vectors.",CONFIRM:https://support.citrix.com/article/CTX219885   |   BID:96028   |   URL:http://www.securityfocus.com/bid/96028,Assigned (20170123),None (candidate not yet proposed),
44,"Scanner segfault: Works fine on i686, but fails on x86_64. The segfault occurs at the scanner line "*yy_cp = (yy_hold_char);".  Goolging suggests that this is a common point of failure, related (I think?) to overrunning a buffer which is expected to be null-terminated but isn't. However, I was unable to make any further headway in determining more than this (and not even sure the above is correct.) Also googled for complaints about similar 32b/64b flex issues in general, i.e. anything that might give a hint as to why a particular scanner might work for 32b but not 64b.  No joy on that either.", "lists.gnu.org/archive/html/help-flex/2014-02/msg00001.html"
45,
46,
47,
48,
49,
50,
